Index,Version ID,Version Name,Date
1,12312343,0.9.0,2006-08-26T00:00
2,12312342,0.9.6,2006-11-29T00:00
3,12312340,0.9.7,2007-04-27T00:00
4,12312341,1.0.0,2007-08-28T00:00
5,12312687,1.0.1,2007-11-09T00:00
6,12312846,1.0.2,2008-02-18T00:00
7,12312344,1.1.0,2008-05-22T00:00
8,12312969,1.0.3,2008-07-23T00:00
9,12313102,1.2.0,2008-08-12T00:00
10,12313624,2.0.0-M1,2009-01-29T00:00
11,12313328,1.2.1,2009-03-18T00:00
12,12313483,2.0.0-M2,2009-06-03T00:00
13,12314148,2.0.0-M3,2009-10-12T00:00
14,12313681,1.2.2,2010-01-18T00:00
15,12314149,2.0.0-beta,2010-01-28T00:00
16,12314802,2.0.0-beta2,2010-02-27T00:00
17,12314857,2.0.0-beta3,2010-03-29T00:00
18,12314019,2.0.0,2010-04-22T00:00
19,12314532,2.0.1,2010-08-30T00:00
20,12313301,1.0.4,2010-09-03T00:00
21,12314542,2.1.0,2011-02-21T00:00
22,12316191,2.1.1,2011-07-25T00:00
23,12315910,2.2.0,2012-02-20T00:00
24,12319943,2.2.1,2012-11-01T00:00
25,12314517,1.2.3,2013-04-17T00:00
26,12323356,2.2.2,2013-04-22T00:00
27,12319463,2.3.0,2013-11-24T00:00
28,12325298,2.4.0,2015-04-22T00:00
29,12332295,2.4.1,2016-02-21T00:00
30,12334871,2.4.2,2017-01-03T00:00
31,12338127,3.0.0,2018-06-12T00:00
32,12343421,3.1.0,2019-04-14T00:00
