Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,1,0,28,4,35,28,0.88,0.50,0.69,0.36
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,1,0,41,15,24,15,0.73,0.73,0.74,0.35
BOOKKEEPER,1,0.395,0.516,0.589,IBk,1,0,34,16,23,22,0.68,0.61,0.60,0.19
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,2,0,29,5,34,27,0.85,0.52,0.69,0.36
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,2,0,37,13,26,19,0.74,0.66,0.71,0.32
BOOKKEEPER,1,0.395,0.516,0.589,IBk,2,0,31,17,22,25,0.65,0.55,0.58,0.11
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,3,0,28,5,34,28,0.85,0.50,0.70,0.34
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,3,0,38,17,22,18,0.69,0.68,0.71,0.24
BOOKKEEPER,1,0.395,0.516,0.589,IBk,3,0,33,16,23,23,0.67,0.59,0.59,0.17
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,4,0,9,1,38,47,0.90,0.16,0.57,0.11
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,4,0,9,1,38,47,0.90,0.16,0.57,0.11
BOOKKEEPER,1,0.395,0.516,0.589,IBk,4,0,9,1,38,47,0.90,0.16,0.57,0.11
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,1,1,30,7,32,26,0.81,0.54,0.67,0.33
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,1,1,44,19,20,12,0.70,0.79,0.72,0.31
BOOKKEEPER,1,0.395,0.516,0.589,IBk,1,1,37,13,26,19,0.74,0.66,0.66,0.32
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,2,1,35,20,19,21,0.64,0.62,0.65,0.11
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,2,1,41,26,13,15,0.61,0.73,0.65,0.07
BOOKKEEPER,1,0.395,0.516,0.589,IBk,2,1,35,12,27,21,0.74,0.62,0.67,0.31
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,3,1,30,6,33,26,0.83,0.54,0.67,0.35
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,3,1,42,17,22,14,0.71,0.75,0.74,0.32
BOOKKEEPER,1,0.395,0.516,0.589,IBk,3,1,37,13,26,19,0.74,0.66,0.66,0.32
BOOKKEEPER,1,0.395,0.516,0.589,NaiveBayes,4,1,9,1,38,47,0.90,0.16,0.57,0.11
BOOKKEEPER,1,0.395,0.516,0.589,RandomForest,4,1,9,1,38,47,0.90,0.16,0.57,0.11
BOOKKEEPER,1,0.395,0.516,0.589,IBk,4,1,9,1,38,47,0.90,0.16,0.57,0.11
BOOKKEEPER,2,0.482,0.561,0.260,NaiveBayes,1,0,31,30,95,13,0.51,0.70,0.76,0.41
BOOKKEEPER,2,0.482,0.561,0.260,RandomForest,1,0,35,60,65,9,0.37,0.80,0.77,0.23
BOOKKEEPER,2,0.482,0.561,0.260,IBk,1,0,36,58,67,8,0.38,0.82,0.68,0.26
BOOKKEEPER,2,0.482,0.561,0.260,NaiveBayes,2,0,30,30,95,14,0.50,0.68,0.77,0.40
BOOKKEEPER,2,0.482,0.561,0.260,RandomForest,2,0,36,57,68,8,0.39,0.82,0.77,0.27
