Version,File Name,Size(LOC), LOC_Touched,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,436,5,2,253,252,0,235,249,47,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1466,14,3,1026,545,0,1026,545,73,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,150,3,3,92,81,0,92,81,30,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,210,4,2,180,168,0,180,168,45,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,795,9,3,511,487,0,431,447,47,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,216,5,3,204,124,0,204,124,40,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,691,7,3,554,536,0,548,533,78,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,187,5,3,149,133,0,149,133,29,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,171,3,3,157,151,0,157,151,52,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,387,5,3,139,126,0,135,124,27,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,289,4,3,271,249,0,271,249,67,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,219,4,2,205,204,0,205,204,51,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1544,9,3,548,410,0,548,410,60,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,1132,6,2,805,714,0,651,637,108,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,71,3,3,61,61,0,61,61,20,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,263,8,3,169,167,0,145,155,18,YES
