years-month;bugs fixed;Media;Dev standard;Upper Limit;LowerLimit;;;;;;;;;;;;;;;;
01/10/2008;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2008;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2008;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2009;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2009;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2009;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2009;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2009;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2009;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2010;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2010;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2010;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2010;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2010;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2010;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2010;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2010;5;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2010;4;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2010;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2010;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2010;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2011;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2011;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2011;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2011;4;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/05/2011;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/06/2011;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/07/2011;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/08/2011;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/09/2011;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/10/2011;1;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/11/2011;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/12/2011;2;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/01/2012;3;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/02/2012;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/03/2012;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
01/04/2012;0;1,382352941;2,544591428;9,016127224;-6,251421342;;;;;;;;;;;;;;;;
