years;bugs resolved;Upper limit;Lower limit;Media;Dev standard;;;;;;;;;;;;;;;;
2008;3;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2009;8;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2010;20;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2011;13;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2012;11;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2013;52;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2014;27;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2015;22;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2016;20;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2017;10;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2019;1;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
2020;1;58,44516594;-27,11183261;15,66666667;14,25949976;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
