Dataset,#Training Release, Classifier, Precision, Recall, AUC, KAPPA
OPENJPA,1,NaiveBayes,0.16,0.33,0.84,0.19
OPENJPA,1,RandomForest,?,0.00,0.90,0.00
OPENJPA,1,IBk,?,0.00,0.50,0.00
OPENJPA,2,NaiveBayes,0.16,0.17,0.52,0.11
OPENJPA,2,RandomForest,0.60,0.09,0.58,0.14
OPENJPA,2,IBk,0.25,0.09,0.55,0.10
OPENJPA,3,NaiveBayes,0.24,0.44,0.80,0.27
OPENJPA,3,RandomForest,0.62,0.17,0.70,0.25
OPENJPA,3,IBk,0.09,0.27,0.63,0.08
OPENJPA,4,NaiveBayes,0.28,0.44,0.78,0.31
OPENJPA,4,RandomForest,0.96,0.52,0.98,0.67
OPENJPA,4,IBk,0.77,0.72,0.89,0.73
OPENJPA,5,NaiveBayes,0.15,0.37,0.76,0.18
OPENJPA,5,RandomForest,0.70,0.52,0.93,0.59
OPENJPA,5,IBk,0.69,0.57,0.84,0.62
OPENJPA,6,NaiveBayes,0.23,0.34,0.76,0.25
OPENJPA,6,RandomForest,0.88,0.42,0.86,0.56
OPENJPA,6,IBk,0.69,0.51,0.83,0.58
OPENJPA,7,NaiveBayes,0.29,0.23,0.70,0.22
OPENJPA,7,RandomForest,0.91,0.26,0.80,0.39
OPENJPA,7,IBk,0.82,0.27,0.79,0.39
OPENJPA,8,NaiveBayes,0.35,0.30,0.76,0.30
OPENJPA,8,RandomForest,0.48,0.38,0.92,0.40
OPENJPA,8,IBk,0.49,0.46,0.81,0.44
OPENJPA,9,NaiveBayes,0.39,0.35,0.82,0.33
OPENJPA,9,RandomForest,0.54,0.48,0.92,0.48
OPENJPA,9,IBk,0.46,0.38,0.81,0.39
OPENJPA,10,NaiveBayes,0.30,0.35,0.80,0.30
OPENJPA,10,RandomForest,0.52,0.44,0.89,0.45
OPENJPA,10,IBk,0.33,0.45,0.72,0.35
OPENJPA,11,NaiveBayes,0.18,0.43,0.77,0.20
OPENJPA,11,RandomForest,0.83,0.37,0.80,0.50
OPENJPA,11,IBk,0.32,0.45,0.74,0.34
OPENJPA,12,NaiveBayes,0.49,0.34,0.80,0.36
OPENJPA,12,RandomForest,0.72,0.30,0.87,0.40
OPENJPA,12,IBk,0.50,0.36,0.72,0.38
OPENJPA,13,NaiveBayes,0.38,0.36,0.80,0.34
OPENJPA,13,RandomForest,0.48,0.38,0.90,0.40
OPENJPA,13,IBk,0.43,0.45,0.81,0.41
OPENJPA,14,NaiveBayes,0.31,0.39,0.74,0.32
OPENJPA,14,RandomForest,0.75,0.41,0.84,0.51
OPENJPA,14,IBk,0.62,0.59,0.81,0.58
OPENJPA,15,NaiveBayes,0.38,0.38,0.78,0.35
OPENJPA,15,RandomForest,0.95,0.59,0.97,0.72
OPENJPA,15,IBk,0.99,0.57,0.88,0.71
OPENJPA,16,NaiveBayes,0.34,0.42,0.79,0.35
OPENJPA,16,RandomForest,0.81,0.68,0.96,0.73
OPENJPA,16,IBk,0.74,0.68,0.90,0.70
