Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,1,0,6,32,925,12,0.16,0.33,0.84,0.19
OPENJPA,1,0.485,0.009,0.018,RandomForest,1,0,0,0,957,18,?,0.00,0.90,0.00
OPENJPA,1,0.485,0.009,0.018,IBk,1,0,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,2,0,9,77,880,9,0.10,0.50,0.84,0.15
OPENJPA,1,0.485,0.009,0.018,RandomForest,2,0,0,0,957,18,?,0.00,0.83,0.00
OPENJPA,1,0.485,0.009,0.018,IBk,2,0,0,2,955,18,0.00,0.00,0.61,-0.00
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,3,0,8,473,484,10,0.02,0.44,0.43,-0.00
OPENJPA,1,0.485,0.009,0.018,RandomForest,3,0,10,125,832,8,0.07,0.56,0.83,0.10
OPENJPA,1,0.485,0.009,0.018,IBk,3,0,17,577,380,1,0.03,0.94,0.67,0.02
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,4,0,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,1,0.485,0.009,0.018,RandomForest,4,0,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,1,0.485,0.009,0.018,IBk,4,0,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,1,1,4,12,945,14,0.25,0.22,0.82,0.22
OPENJPA,1,0.485,0.009,0.018,RandomForest,1,1,0,0,957,18,?,0.00,0.78,0.00
OPENJPA,1,0.485,0.009,0.018,IBk,1,1,0,0,957,18,?,0.00,0.55,0.00
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,2,1,9,79,878,9,0.10,0.50,0.81,0.14
OPENJPA,1,0.485,0.009,0.018,RandomForest,2,1,0,0,957,18,?,0.00,0.69,0.00
OPENJPA,1,0.485,0.009,0.018,IBk,2,1,0,0,957,18,?,0.00,0.48,0.00
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,3,1,7,98,859,11,0.07,0.39,0.82,0.08
OPENJPA,1,0.485,0.009,0.018,RandomForest,3,1,1,12,945,17,0.08,0.06,0.84,0.05
OPENJPA,1,0.485,0.009,0.018,IBk,3,1,1,30,927,17,0.03,0.06,0.46,0.02
OPENJPA,1,0.485,0.009,0.018,NaiveBayes,4,1,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,1,0.485,0.009,0.018,RandomForest,4,1,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,1,0.485,0.009,0.018,IBk,4,1,0,0,957,18,?,0.00,0.50,0.00
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,1,0,12,65,964,57,0.16,0.17,0.52,0.11
OPENJPA,2,0.633,0.014,0.063,RandomForest,1,0,6,4,1025,63,0.60,0.09,0.58,0.14
OPENJPA,2,0.633,0.014,0.063,IBk,1,0,6,18,1011,63,0.25,0.09,0.55,0.10
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,2,0,17,111,918,52,0.13,0.25,0.51,0.10
OPENJPA,2,0.633,0.014,0.063,RandomForest,2,0,4,9,1020,65,0.31,0.06,0.56,0.08
OPENJPA,2,0.633,0.014,0.063,IBk,2,0,6,20,1009,63,0.23,0.09,0.70,0.10
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,3,0,18,129,900,51,0.12,0.26,0.56,0.09
OPENJPA,2,0.633,0.014,0.063,RandomForest,3,0,16,148,881,53,0.10,0.23,0.39,0.05
OPENJPA,2,0.633,0.014,0.063,IBk,3,0,11,148,881,58,0.07,0.16,0.51,0.01
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,4,0,9,32,997,60,0.22,0.13,0.52,0.12
OPENJPA,2,0.633,0.014,0.063,RandomForest,4,0,9,32,997,60,0.22,0.13,0.52,0.12
OPENJPA,2,0.633,0.014,0.063,IBk,4,0,9,32,997,60,0.22,0.13,0.52,0.12
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,1,1,14,85,944,55,0.14,0.20,0.51,0.10
OPENJPA,2,0.633,0.014,0.063,RandomForest,1,1,5,5,1024,64,0.50,0.07,0.59,0.11
OPENJPA,2,0.633,0.014,0.063,IBk,1,1,10,33,996,59,0.23,0.14,0.60,0.14
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,2,1,23,164,865,46,0.12,0.33,0.48,0.10
OPENJPA,2,0.633,0.014,0.063,RandomForest,2,1,6,18,1011,63,0.25,0.09,0.56,0.10
OPENJPA,2,0.633,0.014,0.063,IBk,2,1,11,43,986,58,0.20,0.16,0.55,0.13
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,3,1,28,392,637,41,0.07,0.41,0.47,0.01
OPENJPA,2,0.633,0.014,0.063,RandomForest,3,1,21,349,680,48,0.06,0.30,0.44,-0.01
OPENJPA,2,0.633,0.014,0.063,IBk,3,1,27,344,685,42,0.07,0.39,0.53,0.02
OPENJPA,2,0.633,0.014,0.063,NaiveBayes,4,1,5,9,1020,64,0.36,0.07,0.50,0.10
OPENJPA,2,0.633,0.014,0.063,RandomForest,4,1,5,9,1020,64,0.36,0.07,0.50,0.10
OPENJPA,2,0.633,0.014,0.063,IBk,4,1,5,9,1020,64,0.36,0.07,0.50,0.10
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,1,0,21,67,1112,27,0.24,0.44,0.80,0.27
OPENJPA,3,0.709,0.032,0.039,RandomForest,1,0,8,5,1174,40,0.62,0.17,0.70,0.25
OPENJPA,3,0.709,0.032,0.039,IBk,1,0,13,137,1042,35,0.09,0.27,0.63,0.08
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,2,0,28,109,1070,20,0.20,0.58,0.80,0.26
OPENJPA,3,0.709,0.032,0.039,RandomForest,2,0,11,33,1146,37,0.25,0.23,0.69,0.21
OPENJPA,3,0.709,0.032,0.039,IBk,2,0,13,148,1031,35,0.08,0.27,0.60,0.07
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,3,0,27,111,1068,21,0.20,0.56,0.80,0.25
OPENJPA,3,0.709,0.032,0.039,RandomForest,3,0,33,228,951,15,0.13,0.69,0.79,0.16
OPENJPA,3,0.709,0.032,0.039,IBk,3,0,36,374,805,12,0.09,0.75,0.71,0.09
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,4,0,7,19,1160,41,0.27,0.15,0.69,0.17
OPENJPA,3,0.709,0.032,0.039,RandomForest,4,0,7,19,1160,41,0.27,0.15,0.69,0.17
OPENJPA,3,0.709,0.032,0.039,IBk,4,0,7,19,1160,41,0.27,0.15,0.69,0.17
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,1,1,20,60,1119,28,0.25,0.42,0.80,0.28
OPENJPA,3,0.709,0.032,0.039,RandomForest,1,1,6,3,1176,42,0.67,0.12,0.70,0.20
OPENJPA,3,0.709,0.032,0.039,IBk,1,1,11,21,1158,37,0.34,0.23,0.64,0.25
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,2,1,28,116,1063,20,0.19,0.58,0.79,0.25
OPENJPA,3,0.709,0.032,0.039,RandomForest,2,1,8,12,1167,40,0.40,0.17,0.68,0.22
OPENJPA,3,0.709,0.032,0.039,IBk,2,1,14,36,1143,34,0.28,0.29,0.73,0.26
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,3,1,30,127,1052,18,0.19,0.62,0.79,0.25
OPENJPA,3,0.709,0.032,0.039,RandomForest,3,1,37,363,816,11,0.09,0.77,0.79,0.10
OPENJPA,3,0.709,0.032,0.039,IBk,3,1,30,407,772,18,0.07,0.62,0.64,0.06
OPENJPA,3,0.709,0.032,0.039,NaiveBayes,4,1,7,114,1065,41,0.06,0.15,0.47,0.03
OPENJPA,3,0.709,0.032,0.039,RandomForest,4,1,7,114,1065,41,0.06,0.15,0.47,0.03
OPENJPA,3,0.709,0.032,0.039,IBk,4,1,7,114,1065,41,0.06,0.15,0.47,0.03
OPENJPA,4,0.758,0.034,0.037,NaiveBayes,1,0,22,57,1238,28,0.28,0.44,0.78,0.31
OPENJPA,4,0.758,0.034,0.037,RandomForest,1,0,26,1,1294,24,0.96,0.52,0.98,0.67
OPENJPA,4,0.758,0.034,0.037,IBk,1,0,36,11,1284,14,0.77,0.72,0.89,0.73
OPENJPA,4,0.758,0.034,0.037,NaiveBayes,2,0,26,99,1196,24,0.21,0.52,0.78,0.26
OPENJPA,4,0.758,0.034,0.037,RandomForest,2,0,39,21,1274,11,0.65,0.78,0.96,0.70
OPENJPA,4,0.758,0.034,0.037,IBk,2,0,39,35,1260,11,0.53,0.78,0.87,0.61
